template_id,query_count,mae_ms,median_ae_ms,actual_median_ms,actual_max_ms
prod_seat_heatmap,5,6062.349507617188,6085.977807617188,7956.1,8118.331999999999
prod_booking_cohort_retention,3,2658.5814375,1594.2535517578126,3222.063,7115.3755
prod_passenger_no_show_streak,3,2238.4032604166664,2171.13859375,3786.58,4077.1875
prod_customer_value_deciles,4,2212.5015244140627,2076.7880244140624,3895.513,4530.13
prod_multi_segment_bookings,3,2052.1454886067704,653.0931552734373,2348.709,6648.389499999999
prod_lateral_top_fares,3,1895.6980349527994,1943.012693847656,2362.7655,2819.1639999999998
prod_route_peer_comparison,3,1783.1615120442705,1846.8271787109375,3745.319,3759.7315
prod_passenger_itinerary_gaps,4,1219.9687470703125,1193.5037470703126,2896.6130000000003,3131.132
prod_network_two_hop,7,1113.966228376116,1140.1222998046874,461.9225,639.7239999999999
prod_booking_reconciliation,4,959.4901159667969,811.3918203124999,2617.51975,3238.9615000000003
prod_tickets_without_boarding,3,776.9312343750001,671.2384140624999,1912.3495,3132.5095
prod_boarded_frequent_flyers,4,759.2367812500001,552.6569062500002,2328.5280000000002,3232.4049999999997
prod_booking_funnel,9,576.7542388237847,623.3355166015624,914.2940000000001,1380.1345000000001
prod_duplicate_passenger_summary,4,540.2548798828125,554.3845048828125,1700.97325,1767.0165
prod_revenue_iqr_outliers,3,454.7124016927084,262.3886848144531,771.218,2556.369
prod_fare_mix_change,8,227.21299877929687,226.7043349609375,161.49525,173.203
prod_load_factor_percentile,7,142.7614012625558,162.52982299804682,320.63250000000005,424.30400000000003
prod_integrity_audit,9,125.41312467447915,78.17735253906267,1568.1660000000002,1986.9015
prod_route_top_passengers,7,108.86043749999996,55.1473125,949.2645,1240.146
prod_route_top_n_per_month,4,101.81279809570313,100.98567309570313,570.28325,590.5115000000001
prod_materialized_route_comparison,7,77.60004827008927,33.663833984375,437.6465,627.9884999999999
prod_latest_booking_per_passenger,10,46.70650032958984,49.133611938476555,97.40925000000001,104.24350000000001
prod_unsold_business_inventory,10,39.617609509277344,39.83672521972656,117.28475,141.076
prod_rolling_booking_revenue,4,39.47330895996093,40.354183959960935,100.08125,101.9465
prod_route_status_cube,10,37.009252438354494,36.82395309448242,92.65875,98.495
prod_aircraft_turnaround,5,28.635370483398436,29.515370483398435,22.317500000000003,27.1055
prod_aircraft_duration_fit,4,14.418938873291014,4.1891888732910125,61.48075,103.4765
prod_recursive_calendar_gaps,10,9.74401494140625,11.772456176757814,20.967,32.9745
prod_route_concentration,4,9.582323959350585,9.410219093322754,10.356,10.871500000000001
prod_airport_hourly_pressure,10,2.6094983901977544,2.813277786254883,8.9925,13.796000000000001
